date,open,close,high,low,amount
2024-01-15,47.89,48.93,49.03,47.71,191241.0
2024-01-16,48.66,49.97,50.0,48.15,337304.0
2024-01-17,49.68,49.42,50.34,49.42,269141.0
2024-01-18,49.84,49.45,50.04,48.13,390231.0
2024-01-19,49.05,49.19,49.65,48.91,299370.0
2024-01-22,48.93,48.39,49.71,48.13,359803.0
2024-01-23,48.57,49.43,49.74,47.85,288485.0
2024-01-24,49.2,50.24,50.49,49.07,264637.0
2024-01-25,50.35,49.4,50.54,49.29,249636.0
2024-01-26,49.4,50.56,50.8,49.4,327457.0
2024-01-29,50.95,51.74,52.53,50.74,374987.0
2024-01-30,51.75,51.27,52.25,51.05,273733.0
2024-01-31,50.96,51.3,51.99,50.47,255442.0
2024-02-01,51.28,51.86,52.51,51.05,303402.0
2024-02-02,51.55,51.3,51.93,50.36,289505.0
2024-02-05,51.05,52.5,52.65,50.87,461603.0
2024-02-06,52.31,53.0,53.84,52.07,379464.0
2024-02-07,52.34,54.16,54.22,52.08,461959.0
2024-02-08,54.34,53.34,55.41,53.03,347232.0
2024-02-19,54.75,53.65,54.75,52.86,356959.0
2024-02-20,53.35,54.75,54.84,52.72,296309.0
2024-02-21,54.05,54.76,55.6,53.73,277972.0
2024-02-22,54.26,54.4,54.84,54.08,192591.0
2024-02-23,54.73,52.67,55.15,52.37,430936.0
2024-02-26,52.9,53.35,54.55,52.9,340977.0
2024-02-27,53.64,54.97,55.04,53.15,280148.0
2024-02-28,55.05,54.87,55.36,54.0,253674.0
2024-02-29,55.05,55.68,56.53,54.8,489210.0
2024-03-01,56.55,57.52,57.56,55.93,328449.0
2024-03-04,58.05,57.65,59.05,56.55,373844.0
2024-03-05,57.7,58.09,58.45,56.5,355253.0
2024-03-06,57.95,57.56,58.58,57.35,219230.0
2024-03-07,57.5,58.85,59.7,57.25,306340.0
2024-03-08,58.92,59.15,59.54,57.93,261254.0
2024-03-11,59.14,58.47,59.15,57.61,280270.0
2024-03-12,58.4,57.18,58.4,56.1,507399.0
2024-03-13,56.71,57.12,57.38,56.05,327232.0
2024-03-14,56.91,57.55,57.8,56.65,315317.0
2024-03-15,57.44,57.07,57.55,56.35,254639.0
2024-03-18,56.93,55.41,56.94,55.4,425011.0
2024-03-19,55.25,55.65,56.17,55.22,297946.0
2024-03-20,55.25,54.93,55.55,54.45,377909.0
2024-03-21,54.96,53.6,55.09,53.18,391892.0
2024-03-22,53.61,55.67,55.7,53.55,431568.0
2024-03-25,55.24,55.95,56.71,54.83,269033.0
2024-03-26,55.36,55.77,56.3,55.36,253537.0
2024-03-27,55.58,56.72,57.93,55.56,348428.0
2024-03-28,57.28,57.63,58.44,56.23,451854.0
